1	84.17995	-5.21321	0.84406	0.18390	0.26192	0.26212	0.14402	0.14676	0.07479	0.10995	0.42844	0.10109	0.21930
2	84.31833	-5.16478	-1.35990	-1.03171	0.53450	0.23950	0.63252	0.30635	0.40740	0.28108	0.16854	0.25789	0.11610
3	84.24648	-4.85578	-1.18518	0.68580	0.31130	0.10761	0.16302	0.09304	0.11139	0.06136	0.30286	0.34678	0.18163
4	84.17786	-5.23928	-1.37379	0.85376	0.51200	0.72918	0.20817	0.03148	0.06943	0.14581	0.14932	0.19345	0.02849
5	84.00627	-5.37259	-1.26423	0.80729	0.14887	0.07548	0.07350	0.51498	0.29675	0.00209	0.06162	0.14988	0.22753
1	83.73060	-5.30891	-1.48755	0.65931	0.48647	0.07977	0.04986	0.08200	0.13579	0.07637	0.08096	0.19565	0.12958
2	83.96602	-4.92629	-1.23569	0.15806	0.10787	0.48740	0.47664	0.36753	0.13117	0.02777	0.07650	0.02355	0.16154
3	83.75030	-5.26867	0.92492	0.61814	0.70580	0.75806	0.13156	0.20783	0.27678	0.20518	0.17533	0.23599	0.25775
4	83.75327	-5.37409	-1.47483	0.51915	0.01364	0.40215	0.04366	0.04533	0.23562	0.20724	0.16604	0.10847	0.01933
5	83.89860	-5.03983	-1.14276	0.73493	0.42130	0.43110	0.31797	0.33741	0.16132	0.33077	0.07721	0.02223	0.15210
1	83.92593	-4.96255	-1.06874	0.65109	0.03590	0.06930	0.30862	0.46074	0.14509	0.22488	0.09245	0.26609	0.15100
2	83.57006	-5.29880	-1.18340	0.84112	0.27119	0.07816	0.10199	0.25250	0.21568	0.19477	0.04815	0.19166	0.16709
3	84.28460	-4.86725	-1.33117	-1.12660	0.41358	0.73204	0.50074	0.24446	0.09485	0.15447	0.03006	0.06109	0.21055
4	84.32462	-4.96357	-1.35844	0.81149	0.94775	0.80551	0.18217	0.04841	0.10497	0.43603	0.12820	0.09729	0.10910
5	84.13957	-5.03256	-1.58726	0.83792	0.59041	0.21514	0.13945	0.01352	0.13881	0.10050	0.03483	0.43218	0.09204
1	83.84221	-4.95895	0.88096	0.66232	-1.11968	0.57139	0.42873	0.62351	0.02341	0.09120	0.13048	0.19448	0.01959
2	84.37131	-4.81474	0.93468	0.92223	0.20112	0.24472	0.01264	0.16404	0.25021	0.04154	0.03339	0.03194	0.03012
3	84.10868	-5.25627	-1.32362	0.65233	0.41198	0.43700	0.40518	0.03015	0.02317	0.06940	0.34768	0.07897	0.00076
4	84.63615	-4.92527	0.95518	0.59789	0.22445	0.22718	0.33305	0.39058	0.29685	0.37842	0.14931	0.05510	0.15241
5	84.44190	-4.76387	-1.42181	0.96271	0.06489	0.04664	0.07696	0.60307	0.26102	0.00269	0.14520	0.36788	0.08209
1	83.01526	-5.18006	-1.20164	0.54665	0.49000	0.28919	0.25911	0.13213	0.04700	0.33472	0.08601	0.03236	0.09517
2	84.45765	-4.93067	0.94182	0.74350	0.67599	0.81028	0.09814	0.23455	0.24579	0.25484	0.07824	0.20646	0.16468
3	84.11998	-5.04710	-1.18114	0.55435	0.60550	0.24261	0.16264	0.10704	0.12287	0.09200	0.05321	0.10918	0.03734
4	83.76882	-5.04563	-1.02305	-1.02301	0.57920	0.19355	0.28471	0.03029	0.08545	0.01189	0.20957	0.16084	0.02332
5	85.06073	-4.58301	-1.42592	0.59680	0.51438	0.13573	0.31378	0.09016	0.23624	0.33890	0.20966	0.25017	0.00166
1	83.74704	-5.19158	-1.32206	0.38832	0.02735	0.00952	0.39427	0.38405	0.15661	0.42409	0.21820	0.01446	0.21074
2	84.45973	-5.11631	-1.49035	0.62532	0.66609	0.31994	0.08259	0.10590	0.20057	0.07064	0.11386	0.23252	0.28948
3	84.60355	-4.71518	0.86947	0.50472	0.27014	0.31715	0.32139	0.31356	0.21606	0.19082	0.07469	0.00322	0.00505
4	83.38073	-5.68260	-1.51084	-1.28902	0.20553	0.43974	0.58540	0.18950	0.17432	0.36763	0.20534	0.02173	0.07673
5	83.86399	-4.88503	-1.11953	-1.03954	0.56711	0.41301	0.38161	0.37026	0.02115	0.12261	0.02372	0.08532	0.04439
1	84.41608	-4.75318	-1.40647	-1.06596	0.35484	0.27811	0.38316	0.16361	0.06863	0.02040	0.25205	0.28605	0.39090
2	84.28682	-5.12329	-1.00551	0.49860	0.27227	0.22508	0.27362	0.13768	0.21617	0.18559	0.28750	0.15381	0.10363
3	84.38478	-5.07721	-1.35283	0.83785	0.26673	0.57480	0.31653	0.29109	0.01247	0.06122	0.17101	0.44369	0.02590
4	83.83777	-5.37638	-1.19759	0.50867	0.59844	0.41715	0.23031	0.03776	0.05705	0.20844	0.06322	0.01814	0.03100
5	83.75258	-5.09508	-1.32812	0.54133	0.45354	0.45181	0.16125	0.09723	0.05965	0.03241	0.17877	0.27042	0.13247
1	83.80937	-4.91411	0.97296	0.41144	0.08713	0.45989	0.05956	0.10122	0.13169	0.16265	0.11054	0.16115	0.16661
2	83.46953	-4.89077	0.66639	0.09335	0.14050	0.31356	0.25860	0.30289	0.11284	0.13266	0.00846	0.02171	0.07139
3	83.91958	-4.96939	0.81188	0.38740	0.48509	0.30066	0.04553	0.09398	0.14231	0.18880	0.21181	0.25627	0.12289
