1	84.52785	-5.24913	0.78909	0.65499	0.74242	0.01507	0.11068	0.23735	0.05288	0.33883	0.10675	0.17456	0.18062
2	84.76906	-5.62529	-1.33732	0.62160	0.62980	0.14054	0.22197	0.51059	0.20555	0.43401	0.15260	0.04427	0.23383
3	84.95055	-5.35771	-1.43229	0.66601	0.83747	0.30444	0.53497	0.02291	0.19627	0.41122	0.06337	0.07982	0.30945
4	84.60520	-5.63012	-1.20258	0.46717	0.29365	0.54449	0.37009	0.42442	0.30724	0.59220	0.16865	0.07935	0.12683
5	84.48011	-5.34170	0.93660	0.78124	0.46342	0.36378	0.49650	0.32296	0.02318	0.61901	0.06402	0.18922	0.49618
1	85.16338	-4.95625	-1.03039	0.24969	0.24572	0.17705	0.44220	0.46207	0.09152	0.23374	0.03668	0.00264	0.29965
2	84.67513	-5.31478	-1.35871	0.39738	0.68999	0.22294	0.30405	0.14835	0.10312	0.31210	0.09804	0.28335	0.00806
3	84.30637	-4.80236	-1.12334	-1.29333	0.74416	0.09953	0.42024	0.24168	0.05512	0.14695	0.09109	0.25614	0.07453
4	84.09953	-5.15002	-1.14784	0.17524	0.13399	0.35025	0.50510	0.41336	0.22708	0.16641	0.14970	0.04105	0.16719
5	83.65448	-4.91937	0.96735	0.95892	0.14819	0.06747	0.24340	0.05599	0.14995	0.43669	0.07914	0.08542	0.10589
1	83.80902	-5.03937	0.89918	0.15514	0.09652	0.15712	0.03675	0.24143	0.34586	0.51749	0.26533	0.25650	0.18844
2	83.93653	-4.75517	-1.61619	0.91139	0.09287	0.34404	0.17235	0.31364	0.25548	0.22638	0.05013	0.18135	0.00504
3	84.35233	-4.87164	-1.02951	0.36335	0.49326	0.37471	0.32545	0.08595	0.24126	0.02563	0.11493	0.14638	0.08518
4	84.12157	-5.48851	-1.17666	0.12224	0.13665	0.04567	0.15508	0.04342	0.11173	0.14340	0.16874	0.18456	0.08385
5	84.59471	-5.05579	0.78083	0.34629	0.62420	0.25684	0.23857	0.20631	0.21636	0.13673	0.32286	0.04112	0.04056
1	84.30218	-4.94702	0.90720	0.18495	0.30842	0.21782	0.32925	0.22828	0.05576	0.00895	0.20153	0.15079	0.17341
